survey_num,tenure,biggest_challenge
RS1,Own,Availability and affordability of housing
RS2,Rent,Housing and infrastructure
RS3,Other,Increase of rent
RS4,Rent,"Poor drivers, dangerous crosswalks"
RS5,Rent,
BV1,Own,Housing
BV2,Rent,Systemic issues and bureaucratic limitations
BV3,Own,Homelessness
BV4,Own,Truly affordable housing for middle income earners
BV5,Own,"Waste management, (illegal) dumping, too many piles of garbage, there should be free services for waste collection/dumping"
MUN1,Rent,Homelessness
MUN2,Rent,All the new buildings going up
MUN3,Rent,Affordable Housing
MUN4,Rent,"Post pandemic, the city never managed to regain footing and has a budget crisis"
MUN5,Other,Homelessness
JK1,Rent,Income problems
JK2,Rent,Resource Access
JK3,Rent,Pollution
JK4,Own,Affordable Housing
JK5,Other,Homelessness
KUB1,Rent,Homless
KUB2,Rent,Crime
KUB3,Rent,
KUB4,Rent,Over Sureillance
KUB5,Rent,Trash
ES1,Other,Saftey
ES2,Rent,Gentrification
ES3,Rent,Public perception from people who don't live here!
ES4,Own,
ES5,Rent,How much the Oakland police sucks
ELD1,Rent,Sea Level Rise/Climate Change
ELD2,Rent,Gentrification
ELD3,Rent,Economic Disparity
ELD4,Rent,Homelessness
ELD5,Rent,Schooling
JMP1,Own,Money/Funding
JMP2,Own,Homelessness
JMP3,Other,
JMP4,Own,Homelessness
JMP5,Rent,Better homelessness services; stop putting bandaid on these issues 
ALK1,Rent,"Homelessness, lack of light on streets"
ALK2,Other,"Houselessness, food insecurity, wealth gap"
ALK3,Rent,Homelessness/safety
ALK4,Rent,
ALK5,Rent,Homelessness and unaffordability
MJL1,Rent,cleanliness
MJL2,Rent,homelessness crisis
MJL3,,
MJL4,Rent,safety/homeless
MJL5,Rent,no parking
EJI1,Own,accommodating the growth of UC Berkeley
EJI2,Rent,Safety; more help for homeless people
EJI3,Rent,Federal government deploying troops into the Bay Area and/or cutting funding for services
EJI4,Rent,Help with homelessness and people facing mental health issues
EJI5,Rent,Violence
MGF1,Rent,Drugs and mental health
MGF2,Rent,Cops
MGF3,Rent,No response
MGF4,Rent,Leadership
MGF5,Rent,Not enough investments in local and volunteer led commuities
KR1,Rent,Expensive Learning
KR2,Rent,Lack of care for the homeless population.
KR3,Own,Housing Shortage in Bay Area
KR4,,
KR5,Own,Money
NF1,Rent,"The city feels unsafe at night, not because it is unsafe, but because it us empty. No one watching or listening "
NF2,Rent,"Lack of investment, crime"
NF3,Rent,Bad government
NF4,Rent,"Crime, safety"
NF5,Rent,"Homelessness, drug use"
NF6,Rent,Money
ZG01,Rent,the mega rich pocketing profit instead of investing in working class
ZG02,Own,Fixing homeless problem
ZG03,Rent,Crime
ZG04,Rent,"Crime, Homelessness"
ZG05,Other,
GP001,Rent,Grocery store access to fresh food. 
GP002,Rent,"Finding community, creatives. Creatives are being pushed out because of expensive rent."
GP003,Rent,I don't live here/spend enough time here so I can't answer! Sorry!
GP004,Rent,Cost of living 
GP005,Rent,Cost of living 
AML1,Own,Corruption and poor leadership
AML2,Rent,"Need more resources on the ""actual"" problems facing the City (safety and housing)"
AML3,Rent,CRIME
AML4,Own,"Overbuilding creating ""wind and shade tunnels"" and ""destroying character"". "
AML5,Own,INCOME INEQUALITY
CMH1,Rent,Not enough jobs
CMH2,Own,
CMH3,Rent,Division
CMH4,Other,Homelessness
CMH5,Own,The city government's lax enforcement of homeless camping and lame OPW
CIM1,Rent,congestion + public transit (need to expand BART)
CIM2,Rent,tech industry has removed sense of community
CIM3,Rent,"lack of housing affordability, homelessness, and dirty streets"
CIM4,Rent,"not having enough people, business vacancies"
CIM5,Rent,homelessness
LH1,Rent,
LH2,Own,homeless
LH3,Rent,growth of infrastructure vs. current quality of living (new housing is necessary but all the construction is stressful)
LH4,Rent,"not enough water (for utilities, drinking, farming, etc.)"
LH5,Rent,"homelessness, job availability, accessibility"
FH-1,Own,City of Berkeley does not know what they're doing
FH-2,Own,Maintaining the legacy businesses that have been here for more than 50 years.
FH-3,Other,
FH-4,Rent,Housing cost/cost of living
FH-5,Own,
GS-1,Own,"Liter, Homelessness"
GS-2,Own,Not enough police. Rising crime
GS-3,Rent,Vacant downtown / low suport for small businesses
GS-4,Rent,Reliable public transit
GS-5,Rent,"Homelessness, dumping"
MH1,Own,too many apartments added
MH2,Other,"housing prices, connecting with people, stuck up personalities"
MH3,Other,IDK
MH4,,
MH5,Own,
PC01,Rent,School :(
PC02,Own,school/education
PC03,Own,to many apartments
PC04,Rent,Rent control
PC05,Rent,How people don't realize crime is everywhere even if not reported in the news
MRL1,Other,Housing cost
MRL2,,Got on a bus before we cold complete the survey
MRL3,Own,Too much traffic. Need anything but cars.
MRL4,Own,Balacing conflicting demands of different populations
MRL5,Rent,Homelessness & housing them
MRL6,Own,Lack of mental health services
SF1,Rent,Gentrification / Flock
SF2,Rent,Safety
SF3,Rent,"Housing, public safety (community mediation)"
SF4,Rent,Gun violence
SF5,Rent,DEI
NS1,Rent,homelessness
NS2,Own,cost of housing
NS3,Rent,cost of living
NS4,Own,NIMBYism
NS5,Own,jobs and homelessness
ELS1,Rent,Budgeting (police and fire); police unfettered/self-reported overtime
ELS2,Own,Police over funded and under deliver
ELS3,Rent,"The current president and administration (impact on schools, safety, income, health, etc)"
ELS4,Rent,Wealth stratification 
ELS5,Rent,Housing crisis/price of rent
ALM1,Rent,"neocolonial economic practices, push to the right, corporitization"
ALM2,Rent,affordable housing
ALM3,Rent,homelessness
ALM4,Own,diversity
ALM5,Rent,parking
TP1,Own,lawlessness
TP2,Rent,economy & homelessness
TP3,Own,homelessness
TP4,Rent,the economy
TP5,Own,safety
NKC01,Own,
NKC02,Rent,Homelessness
NKC03,Rent,To survive the high rents 
NKC04,Rent,Living Costs 
NKC05,Rent,Housing insecurity
MD1,Rent,It sometimes feels dangerous and dirty
MD2,Rent,Wish some of the shops weren't debit/credit only
MD3,Own,Petty burglary
MD4,Own,Staying friendly
MD5,Other,Cost of living
AB1,Rent,homelessness
AB2,Own,ice
AB3,Rent,
AB4,Own,homelessness and schools aren't good enough
AB5,Rent,people not feeling comfortable supporting each other or seeking support
KA1,Rent,Safety in public spaces
KA2,Own,Over development
KA3,Own,Over Crowding
KA4,Rent,homelessness in the area makes it difficult to navigate streets 
KA5,Own,easy access to schools and parks for kids
AMR_01,Rent,Trump
AMR_02,Rent,Crime. Lock off businesses. Intimidating area to new people
AMR_03,Rent,Crime
AMR_04,Rent,
AMR_05,Rent,
GHH01,Rent,Homelessness
GHH02,Rent,Diversity/change
GHH03,Other,Homelessness/high rent
GHH04,Own,Bureaucratic tangling
GHH05,Own,Fiscal responsibility/transparency
OW01,Rent,Inflation
OW02,Rent,Electric scooters
OW03,Rent,Homelessness
OW04,Rent,"Economic inequality / Funding (lack therof for things I value, too much to police)"
OW05,Rent,Homelessness
RR01,Rent,Change
RR02,Own,Violence
RR03,Rent,Public Transportation
RR04,Rent,"Post-covid businesses are moving out or closing, lack of support"
JD01,Rent,
JD02,Rent,
JD03,Own,Housing
JD04,Own,Crime
JD05,Rent,TRANSPORTATION!
